           1      0.2116
         1.1      0.1473
         1.2     0.09759
         1.3     0.05889
         1.4     0.02865
         1.5    0.004986
         1.6    -0.01351
         1.7     -0.0279
         1.8    -0.03901
         1.9    -0.04746
           2    -0.05377
         2.1    -0.05834
         2.2    -0.06149
         2.3    -0.06349
         2.4    -0.06454
         2.5    -0.06483
         2.6     -0.0645
         2.7    -0.06366
         2.8    -0.06243
         2.9    -0.06088
           3    -0.05908
         3.1     -0.0571
         3.2    -0.05498
         3.3    -0.05276
         3.4    -0.05048
         3.5    -0.04817
         3.6    -0.04586
         3.7    -0.04355
         3.8    -0.04128
         3.9    -0.03904
           4    -0.03687
         4.1    -0.03475
         4.2     -0.0327
         4.3    -0.03073
         4.4    -0.02884
         4.5    -0.02703
         4.6     -0.0253
         4.7    -0.02365
         4.8    -0.02209
         4.9    -0.02061
           5     -0.0192
         5.1    -0.01788
         5.2    -0.01663
         5.3    -0.01546
         5.4    -0.01435
         5.5    -0.01332
         5.6    -0.01235
         5.7    -0.01144
         5.8     -0.0106
         5.9   -0.009805
           6   -0.009068
