-3 -2.37984
-2.98 -2.36476
-2.96 -2.34968
-2.94 -2.33461
-2.92 -2.31955
-2.9 -2.3045
-2.88 -2.28946
-2.86 -2.27443
-2.84 -2.25941
-2.82 -2.2444
-2.8 -2.2294
-2.78 -2.21441
-2.76 -2.19943
-2.74 -2.18447
-2.72 -2.16951
-2.7 -2.15457
-2.68 -2.13965
-2.66 -2.12473
-2.64 -2.10983
-2.62 -2.09494
-2.6 -2.08007
-2.58 -2.06522
-2.56 -2.05037
-2.54 -2.03555
-2.52 -2.02074
-2.5 -2.00595
-2.48 -1.99118
-2.46 -1.97642
-2.44 -1.96169
-2.42 -1.94697
-2.4 -1.93227
-2.38 -1.9176
-2.36 -1.90294
-2.34 -1.88831
-2.32 -1.8737
-2.3 -1.85912
-2.28 -1.84456
-2.26 -1.83002
-2.24 -1.81551
-2.22 -1.80103
-2.2 -1.78657
-2.18 -1.77215
-2.16 -1.75775
-2.14 -1.74339
-2.12 -1.72905
-2.1 -1.71475
-2.08 -1.70048
-2.06 -1.68625
-2.04 -1.67205
-2.02 -1.6579
-2 -1.64378
-1.98 -1.62969
-1.96 -1.61565
-1.94 -1.60166
-1.92 -1.5877
-1.9 -1.5738
-1.88 -1.55994
-1.86 -1.54612
-1.84 -1.53236
-1.82 -1.51865
-1.8 -1.505
-1.78 -1.4914
-1.76 -1.47785
-1.74 -1.46437
-1.72 -1.45095
-1.7 -1.43759
-1.68 -1.42429
-1.66 -1.41107
-1.64 -1.39792
-1.62 -1.38483
-1.6 -1.37183
-1.58 -1.3589
-1.56 -1.34605
-1.54 -1.33329
-1.52 -1.32061
-1.5 -1.30803
-1.48 -1.29553
-1.46 -1.28314
-1.44 -1.27084
-1.42 -1.25865
-1.4 -1.24656
-1.38 -1.23458
-1.36 -1.22272
-1.34 -1.21098
-1.32 -1.19936
-1.3 -1.18788
-1.28 -1.17652
-1.26 -1.1653
-1.24 -1.15423
-1.22 -1.1433
-1.2 -1.13253
-1.18 -1.12192
-1.16 -1.11147
-1.14 -1.1012
-1.12 -1.0911
-1.1 -1.08119
-1.08 -1.07148
-1.06 -1.06196
-1.04 -1.05265
-1.02 -1.04356
-1 -1.0347
-0.98 -1.02607
-0.96 -1.01768
-0.94 -1.00954
-0.92 -1.00167
-0.9 -0.994072
-0.88 -0.986758
-0.86 -0.97974
-0.84 -0.973031
-0.82 -0.966643
-0.8 -0.960589
-0.78 -0.954883
-0.76 -0.94954
-0.74 -0.944574
-0.72 -0.940002
-0.7 -0.935841
-0.68 -0.932107
-0.66 -0.928819
-0.64 -0.925996
-0.62 -0.923657
-0.6 -0.921825
-0.58 -0.920521
-0.56 -0.919767
-0.54 -0.919588
-0.52 -0.92001
-0.5 -0.921058
-0.48 -0.922761
-0.46 -0.925147
-0.44 -0.928247
-0.42 -0.932094
-0.4 -0.936721
-0.38 -0.942162
-0.36 -0.948456
-0.34 -0.95564
-0.32 -0.963756
-0.3 -0.972846
-0.28 -0.982955
-0.26 -0.994131
-0.24 -1.00642
-0.22 -1.01988
-0.2 -1.03456
-0.18 -1.05052
-0.16 -1.06782
-0.14 -1.08652
-0.12 -1.10668
-0.1 -1.12839
-0.08 -1.1517
-0.06 -1.1767
-0.04 -1.20346
-0.02 -1.23208
2.39392e-15 -1.26263
0.02 -1.29521
0.04 -1.32992
0.06 -1.36686
0.08 -1.40613
0.1 -1.44786
0.12 -1.49214
0.14 -1.53912
0.16 -1.58892
0.18 -1.64167
0.2 -1.69751
0.22 -1.7566
0.24 -1.81909
0.26 -1.88515
0.28 -1.95495
0.3 -2.02866
0.32 -2.10648
0.34 -2.18861
0.36 -2.27525
0.38 -2.36662
0.4 -2.46295
0.42 -2.56447
0.44 -2.67145
0.46 -2.78414
0.48 -2.90281
0.5 -3.02776
0.52 -3.15928
0.54 -3.2977
0.56 -3.44334
0.58 -3.59655
0.6 -3.75769
0.62 -3.92716
0.64 -4.10533
0.66 -4.29264
0.68 -4.48952
0.7 -4.69643
0.72 -4.91384
0.74 -5.14227
0.76 -5.38223
0.78 -5.63428
0.8 -5.89899
0.82 -6.17697
0.84 -6.46886
0.86 -6.77531
