-3 -3.06463
-2.98 -3.04929
-2.96 -3.03395
-2.94 -3.01861
-2.92 -3.00326
-2.9 -2.98792
-2.88 -2.97258
-2.86 -2.95724
-2.84 -2.9419
-2.82 -2.92656
-2.8 -2.91123
-2.78 -2.89589
-2.76 -2.88055
-2.74 -2.86522
-2.72 -2.84988
-2.7 -2.83455
-2.68 -2.81922
-2.66 -2.80389
-2.64 -2.78856
-2.62 -2.77323
-2.6 -2.7579
-2.58 -2.74258
-2.56 -2.72725
-2.54 -2.71193
-2.52 -2.69661
-2.5 -2.68129
-2.48 -2.66597
-2.46 -2.65066
-2.44 -2.63535
-2.42 -2.62004
-2.4 -2.60473
-2.38 -2.58943
-2.36 -2.57412
-2.34 -2.55883
-2.32 -2.54353
-2.3 -2.52824
-2.28 -2.51295
-2.26 -2.49767
-2.24 -2.48239
-2.22 -2.46711
-2.2 -2.45184
-2.18 -2.43657
-2.16 -2.42131
-2.14 -2.40605
-2.12 -2.39081
-2.1 -2.37556
-2.08 -2.36032
-2.06 -2.3451
-2.04 -2.32987
-2.02 -2.31466
-2 -2.29945
-1.98 -2.28426
-1.96 -2.26907
-1.94 -2.25389
-1.92 -2.23873
-1.9 -2.22357
-1.88 -2.20843
-1.86 -2.1933
-1.84 -2.17818
-1.82 -2.16308
-1.8 -2.14799
-1.78 -2.13292
-1.76 -2.11787
-1.74 -2.10283
-1.72 -2.08782
-1.7 -2.07282
-1.68 -2.05785
-1.66 -2.0429
-1.64 -2.02797
-1.62 -2.01307
-1.6 -1.9982
-1.58 -1.98336
-1.56 -1.96855
-1.54 -1.95377
-1.52 -1.93902
-1.5 -1.92431
-1.48 -1.90964
-1.46 -1.89502
-1.44 -1.88043
-1.42 -1.86589
-1.4 -1.85141
-1.38 -1.83697
-1.36 -1.82259
-1.34 -1.80826
-1.32 -1.794
-1.3 -1.7798
-1.28 -1.76568
-1.26 -1.75162
-1.24 -1.73764
-1.22 -1.72375
-1.2 -1.70994
-1.18 -1.69622
-1.16 -1.6826
-1.14 -1.66908
-1.12 -1.65567
-1.1 -1.64237
-1.08 -1.6292
-1.06 -1.61615
-1.04 -1.60324
-1.02 -1.59047
-1 -1.57785
-0.98 -1.56539
-0.96 -1.5531
-0.94 -1.54098
-0.92 -1.52906
-0.9 -1.51733
-0.88 -1.50581
-0.86 -1.49451
-0.84 -1.48344
-0.82 -1.47262
-0.8 -1.46206
-0.78 -1.45178
-0.76 -1.44178
-0.74 -1.43208
-0.72 -1.4227
-0.7 -1.41367
-0.68 -1.40499
-0.66 -1.39668
-0.64 -1.38877
-0.62 -1.38128
-0.6 -1.37422
-0.58 -1.36763
-0.56 -1.36152
-0.54 -1.35593
-0.52 -1.35088
-0.5 -1.34639
-0.48 -1.3425
-0.46 -1.33925
-0.44 -1.33665
-0.42 -1.33475
-0.4 -1.33358
-0.38 -1.33318
-0.36 -1.33359
-0.34 -1.33486
-0.32 -1.33701
-0.3 -1.34011
-0.28 -1.3442
-0.26 -1.34932
-0.24 -1.35554
-0.22 -1.36291
-0.2 -1.37148
-0.18 -1.38131
-0.16 -1.39247
-0.14 -1.40503
-0.12 -1.41905
-0.1 -1.43462
-0.08 -1.45179
-0.06 -1.47066
-0.04 -1.49131
-0.02 -1.51382
2.39392e-15 -1.53829
0.02 -1.56482
0.04 -1.5935
0.06 -1.62444
0.08 -1.65775
0.1 -1.69355
0.12 -1.73195
0.14 -1.77309
0.16 -1.8171
0.18 -1.86411
0.2 -1.91428
0.22 -1.96775
0.24 -2.02469
0.26 -2.08525
0.28 -2.14962
0.3 -2.21798
0.32 -2.29053
0.34 -2.36745
0.36 -2.44896
0.38 -2.53529
0.4 -2.62665
0.42 -2.7233
0.44 -2.82548
0.46 -2.93346
0.48 -3.04752
0.5 -3.16794
0.52 -3.29503
0.54 -3.4291
0.56 -3.57049
0.58 -3.71954
0.6 -3.87662
0.62 -4.04212
0.64 -4.21642
0.66 -4.39995
0.68 -4.59314
0.7 -4.79645
0.72 -5.01037
0.74 -5.23538
0.76 -5.47203
0.78 -5.72086
0.8 -5.98244
0.82 -6.25738
0.84 -6.54631
0.86 -6.84989
