-4.9  .3735217174e-1
-4.8  .4045769726e-1
-4.7  .4380332562e-1
-4.6  .4740522029e-1
-4.5  .5128029205e-1
-4.4  .5544617815e-1
-4.3  .5992120972e-1
-4.2  .6472436401e-1
-4.1  .6987520003e-1
-4.0  .7539377385e-1
-3.9  .8130053073e-1
-3.8  .8761617009e-1
-3.7  .9436147959e-1
-3.6  .1015571333
-3.5  .1092234490
-3.4  .1173800995
-3.3  .1260457712
-3.2  .1352377634
-3.1  .1449715230
-3.0  .1552601040
-2.9  .1661135484    
-2.8  .1775381767    
-2.7  .1895357849    
-2.6  .2021027376    
-2.5  .2152289534    
-2.4  .2288967795    
-2.3  .2430797518    
-2.2  .2577412446    
-2.1  .2728330158    
-2.0  .2882936629    
-1.9  .3040470087    
-1.8  .3200004519    
-1.7  .3360433267    
-1.6  .3520453332    
-1.5  .3678551204    
-1.4  .3832991225    
-1.3  .3981807791    
-1.2  .4122802937    
-1.1  .4253551131    
-1.0  .4371413456    
-.9  .4473563462     
-.8  .4557027292     
-.7  .4618740556     
-.6  .4655624413     
-.5  .4664682659     
-.4  .4643120922     
-.3  .4588487575     
-.2  .4498834102     
-.1  .4372890030     
0.  .4210244382      
.1  .4011521867      
.2  .3778538190      
.3  .3514415247      
.4  .3223634421      
.5  .2912005497      
.6  .2586531178      
.7  .2255153478      
.8  .1926379348      
.9  .1608798542      
1.0  .1310525785     
1.1  .1038619163     
1.2  .7985430649e-1  
1.3  .5937520636e-1  
1.4  .4254667151e-1  
1.5  .2926905892e-1  
1.6  .1924806270e-1  
1.7  .1204363415e-1  
1.8  .7132828439e-2  
1.9  .3975600376e-2  
2.0  .2072144148e-2  
